id,observed_on,species_common,species_scientific,latitude,longitude,place_guess,quality_grade,native,introduced,threatened
339636555,2026-02-21,Tansy Mustard Sweat Bee,Lasioglossum sisymbrii,32.83672,-117.073852833,"Mission Trails Regional Park, San Diego, CA, US",research,True,False,False
339635802,2026-02-21,Tansy Mustard Sweat Bee,Lasioglossum sisymbrii,33.652895,-117.886527,"Upper Newport Bay Nature Preserve, Newport Beach, CA, US",research,True,False,False
339635059,2026-02-21,California Bumble Bee,Bombus californicus,32.8366866667,-117.074591667,"Mission Trails Regional Park, San Diego, CA, US",research,True,False,False
339632433,2026-02-21,California Bumble Bee,Bombus californicus,32.8230851624,-117.073761266,"Mission Trails Regional Park, San Diego, CA, US",research,True,False,False
339630528,2026-02-21,Yellow-faced Bumble Bee,Bombus vosnesenskii,34.4176966667,-118.58258,"The Old Rd, Valencia, CA, US",research,True,False,False
339628193,2026-02-21,Prunus Miner Bee,Andrena prunorum,34.4174083333,-118.583511667,"Valencia, CA, US",research,True,False,False
339626123,2026-02-21,Western Honey Bee,Apis mellifera,34.0905221667,-118.243391667,"Cerro Gordo St, Los Angeles, CA, US",research,False,True,False
339626063,2026-02-21,Western Honey Bee,Apis mellifera,33.9722194444,-117.921566667,"City of Industry, CA 91748, USA",research,False,True,False
339623451,2026-02-21,Western Honey Bee,Apis mellifera,33.9446706917,-117.501281278,"Riverside, CA, US",research,False,True,False
339622752,2026-02-21,Western Honey Bee,Apis mellifera,34.144925,-119.209572222,"Port Hueneme, CA, USA",research,False,True,False
339622734,2026-02-21,Yellow-faced Bumble Bee,Bombus vosnesenskii,32.7521101367,-117.228518273,"Point Loma Heights, San Diego, CA, USA",research,True,False,False
339620920,2026-02-21,Western Honey Bee,Apis mellifera,34.1436221667,-119.19538,"Shoreview Dr, Port Hueneme, CA, US",research,False,True,False
339620739,2026-02-21,California Digger Bee,Anthophora californica,34.176014515,-118.237670213,"Verdugo Woodlands, Glendale, CA, USA",research,True,False,False
339620635,2026-02-21,California Digger Bee,Anthophora californica,34.1760294935,-118.237659484,"Verdugo Woodlands, Glendale, CA, USA",research,True,False,False
339618961,2026-02-21,Western Honey Bee,Apis mellifera,34.0130416667,-118.366163333,"S Cloverdale Ave, Los Angeles, CA, US",research,False,True,False
339616370,2026-02-21,Western Honey Bee,Apis mellifera,34.1517759,-118.9625073,"Thousand Oaks, CA 91320, USA",research,False,True,False
339614312,2026-02-21,Black-tailed Bumble Bee,Bombus melanopygus,32.6554940997,-117.0024018,"Bonita Long Canyon, Chula Vista, CA, USA",research,True,False,False
339613922,2026-02-21,Western Honey Bee,Apis mellifera,34.1580159,-118.9741507,"Thousand Oaks, CA 91320, USA",research,False,True,False
339608929,2026-02-21,Western Honey Bee,Apis mellifera,34.0670355822,-118.359939778,"S Ogden Dr, Los Angeles, CA, US",research,False,True,False
339608477,2026-02-21,California Digger Bee,Anthophora californica,32.7846388889,-117.015330556,"La Mesa, CA 91942, USA",research,True,False,False
339600481,2026-02-13,Valley Carpenter Bee,Xylocopa sonorina,33.7625617981,-116.370742798,Palm Desert,research,True,False,False
339594367,2026-02-21,Western Honey Bee,Apis mellifera,32.9670274488,-117.040148859,"San Diego County, US-CA, US",research,False,True,False
339592879,2026-02-21,Western Honey Bee,Apis mellifera,33.5789956121,-117.846463483,"Crystal Cove State Park, Newport Beach, CA, US",research,False,True,False
339579134,2026-02-14,Western Honey Bee,Apis mellifera,33.7733416667,-116.318633333,"38th Ave, Palm Desert, CA, US",research,False,True,False
339567329,2026-02-20,Yellow-faced Bumble Bee,Bombus vosnesenskii,32.8415536429,-117.073419322,"San Diego, CA, US",research,True,False,False
